year,month,consumer_sentiment,year_month,unemployment_rate,cpi,gas_price,cpi_yoy_pct,gas_price_z,cpi_yoy_pct_z,unemployment_rate_z,consumer_sentiment_z,economic_pressure_index
2018,5,98.0,2018-05-01,3.8,250.792,2.9007500000000004,2.781921607842497,-0.1362504569225118,-0.32250588406321484,-0.41394471109822684,1.2381639169116077,-2.1108649689955614
2018,6,98.2,2018-06-01,4.0,251.018,2.89075,2.8075506935940187,-0.15338024100600886,-0.31071212421041344,-0.30322084972471336,1.2504878576309921,-2.017801072572128
2018,7,97.9,2018-07-01,3.8,251.214,2.8486000000000002,2.854124785561929,-0.22558228091794713,-0.2892800816726025,-0.41394471109822684,1.2320019465519156,-2.160809020240692
2018,8,96.2,2018-08-01,3.8,251.663,2.83575,2.6429238568742575,-0.24759405346524077,-0.3864686063738056,-0.41394471109822684,1.127248450437148,-2.1752558213744213
2018,9,100.1,2018-09-01,3.7,252.182,2.8355,2.332055105808828,-0.24802229806732795,-0.5295213641409559,-0.4693066417849833,1.3675652944651435,-2.614415598458411
2018,10,98.6,2018-10-01,3.8,252.772,2.8600000000000003,2.492032470218053,-0.2060543270627608,-0.455904433907131,-0.41394471109822684,1.2751357390697604,-2.351039211137879
2018,11,97.5,2018-11-01,3.8,252.594,2.64725,2.147328577667773,-0.5704904834391527,-0.614527139706243,-0.41394471109822684,1.2073540651131465,-2.806316399356769
2018,12,98.3,2018-12-01,3.9,252.767,2.3655999999999997,2.0023809043401064,-1.0529508521508368,-0.6812278432359152,-0.3585827804114701,1.2566498279906841,-3.349411303788907
2019,1,91.2,2019-01-01,4.0,252.561,2.24775,1.4875893578291333,-1.2548253575748447,-0.9181199404673646,-0.30322084972471336,0.8191499324525378,-3.29531608021946
2019,2,93.8,2019-02-01,3.8,253.319,2.30925,1.5188615351321877,-1.14947718546134,-0.9037293940092431,-0.41394471109822684,0.9793611618045348,-3.4465124523733444
2019,3,98.4,2019-03-01,3.8,254.277,2.516,1.8831863513063984,-0.7953188995350465,-0.7360777098238438,-0.41394471109822684,1.2628117983503768,-3.208153118807494
2019,4,97.2,2019-04-01,3.7,255.233,2.7984,2.000583470209061,-0.3115737970171008,-0.682054970145486,-0.4693066417849833,1.1888681540340702,-2.65180356298164
2019,5,100.0,2019-05-01,3.6,255.296,2.85925,1.7959105553606136,-0.20733906086902387,-0.776239492742127,-0.52466857247174,1.3614033241054517,-2.8696504501883426
2019,6,98.2,2019-06-01,3.6,255.213,2.71575,1.671194894390049,-0.4531514624672009,-0.8336300126237384,-0.52466857247174,1.2504878576309921,-3.0619379051936715
2019,7,98.4,2019-07-01,3.7,255.802,2.7399999999999998,1.826331335037068,-0.4116117360647217,-0.7622407347092627,-0.4693066417849833,1.2628117983503768,-2.9059709109093443
2019,8,89.8,2019-08-01,3.6,256.036,2.621,1.7376412106666406,-0.6154561666583316,-0.8030533504334814,-0.52466857247174,0.7328823474168465,-2.6760604369803995
2019,9,93.2,2019-09-01,3.5,256.43,2.5922,1.6844977040391562,-0.6647899448188018,-0.8275084465292558,-0.5800305031584968,0.9423893396463818,-3.0147182341529364
2019,10,95.5,2019-10-01,3.6,257.155,2.627,1.7339736996186295,-0.6051782962082339,-0.8047410323499216,-0.52466857247174,1.0841146579193024,-3.0187025589491983
2019,11,96.8,2019-11-01,3.6,257.879,2.59775,2.092290394862917,-0.6552829146524614,-0.6398541106730677,-0.52466857247174,1.164220272595301,-2.9840258703925704
2019,12,99.3,2019-12-01,3.6,258.63,2.555,2.3195274699624457,-0.7285127416094093,-0.5352862177969941,-0.52466857247174,1.318269531587606,-3.10673706346575
2020,1,99.8,2020-01-01,3.6,259.127,2.5477499999999997,2.599767976845202,-0.7409318350699451,-0.4063276871944613,-0.52466857247174,1.349079383386067,-3.0210074781222134
2020,2,101.0,2020-02-01,3.5,259.25,2.442,2.3413166797595197,-0.9220793017529215,-0.5252594571774218,-0.5800305031584968,1.4230230277023739,-3.450392289791214
2020,3,89.1,2020-03-01,4.4,258.076,2.2342,1.4940399642909163,-1.2780362150079825,-0.9151515589865432,-0.08177312697768646,0.6897485548990009,-2.9647094558712133
2020,4,71.8,2020-04-01,14.8,256.032,1.8405,0.3130472940411133,-1.952435814375246,-1.4586100372125095,5.675867664445009,-0.3762723173277506,2.6410941301850035
2020,5,72.3,2020-05-01,13.2,255.802,1.8695,0.1982013035848551,-1.9027594405331059,-1.5114588217782174,4.790076773456901,-0.3454624655292896,1.7213209766748676
2020,6,78.1,2020-06-01,11.0,257.042,2.0822,0.7166562831830481,-1.538408933077132,-1.2728809191892785,3.572114298348254,0.011931815332858201,0.7488926307489852
2020,7,72.5,2020-07-01,10.2,258.352,2.18325,0.9968647625897997,-1.3653124649133976,-1.1439371266996987,3.1292188528542004,-0.333138524809905,0.9531077860510091
2020,8,74.1,2020-08-01,8.4,259.316,2.1824,1.2810698495523853,-1.3667684965604954,-1.0131542116523977,2.132704100492581,-0.23454699905483006,-0.012671608665482392
2020,9,80.4,2020-09-01,7.8,259.997,2.18275,1.3910228912373812,-1.3661689541175728,-0.9625570198020835,1.8005325163720405,0.15365713360577965,-0.6818505911533956
2020,10,81.8,2020-10-01,6.9,260.319,2.158,1.2303863428671624,-1.4085651697242272,-1.0364772873226986,1.3022751401912305,0.23992471864147,-1.382692035497165
