course,model_family,mae,rmse,mape,asym_loss,n_preds,params_json,error
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": ""mul"", ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": null, ""damped_trend"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""add"", ""seasonal"": null, ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": ""add"", ""damped_trend"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": ""mul"", ""damped_trend"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": ""mul"", ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": null, ""damped_trend"": true}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": ""mul"", ""seasonal"": null, ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": null, ""seasonal"": ""add"", ""damped_trend"": false}",
aiare 2,ets,86.47757834185266,111.97153414343738,175.43730890944437,125.56814376900466,126,"{""trend"": null, ""seasonal"": ""mul"", ""damped_trend"": false}",
