course,model_name,rmse_mean,mae_mean,mape_mean
aiare 1,bagging_n_estimators=10_max_samples=1.0_max_features=0.7,143.03765300412348,124.63333333333334,287.08368078026433
aiare 1,bagging_n_estimators=25_max_samples=0.7_max_features=1.0,143.80256516612505,118.41523809523811,171.92935605108264
aiare 1,bagging_n_estimators=10_max_samples=1.0_max_features=1.0,143.88894133887624,114.36666666666667,75.8387976823863
aiare 1,bagging_n_estimators=50_max_samples=1.0_max_features=0.7,144.75016939007966,126.6552380952381,257.14020951659813
aiare 1,huber_epsilon=1.35_alpha=0.01,144.84845838800047,134.72791547552166,570.2681467016386
aiare 1,gbr_n_estimators=300_learning_rate=0.2_max_depth=5_subsample=1.0,145.65001245260265,116.08819127955134,17.794496473011254
aiare 1,gbr_n_estimators=200_learning_rate=0.2_max_depth=5_subsample=1.0,145.65001245260265,116.08819127955134,17.794496473011257
aiare 1,gbr_n_estimators=100_learning_rate=0.2_max_depth=5_subsample=1.0,145.65001245668526,116.0881912801646,17.79449603775023
aiare 1,random_forest_n_estimators=200_max_depth=20_min_samples_leaf=3,146.59722517008714,123.97106370745658,143.4115559656221
aiare 1,random_forest_n_estimators=200_max_depth=10_min_samples_leaf=3,146.59722517008717,123.97106370745664,143.4115559656221
aiare 1,random_forest_n_estimators=200_max_depth=None_min_samples_leaf=3,146.59722517008728,123.9710637074567,143.4115559656221
aiare 1,bagging_n_estimators=50_max_samples=0.9_max_features=0.7,146.84037577873625,123.31428571428573,321.0261295034485
aiare 1,bagging_n_estimators=10_max_samples=1.0_max_features=0.9,147.4365731639704,125.8,199.66038981001202
aiare 1,random_forest_n_estimators=200_max_depth=5_min_samples_leaf=3,147.56801162451254,124.91362020783451,143.4430248641457
aiare 1,gbr_n_estimators=300_learning_rate=0.1_max_depth=4_subsample=1.0,147.6801870620727,117.41552964639891,16.767564054499964
aiare 1,gbr_n_estimators=200_learning_rate=0.1_max_depth=4_subsample=1.0,147.68018709362815,117.41552491460831,16.767554861130897
aiare 1,gbr_n_estimators=100_learning_rate=0.1_max_depth=4_subsample=1.0,147.68522843826662,117.41335713477646,16.749687450648718
aiare 1,elasticnet_alpha=0.05_l1_ratio=0.5,147.7455793245149,134.328090335131,429.42425878747963
aiare 1,bagging_n_estimators=25_max_samples=1.0_max_features=0.7,147.86867595009082,127.72,328.53329056646714
aiare 1,extra_trees_n_estimators=200_max_depth=5_min_samples_leaf=3,148.32349301204198,132.54252643190128,82.40204330568989
aiare 1,extra_trees_n_estimators=300_max_depth=5_min_samples_leaf=3,149.7670833991916,133.264884681896,80.60057396318449
aiare 1,bagging_n_estimators=50_max_samples=0.7_max_features=1.0,150.04478519184087,135.5352380952381,211.3457441251144
aiare 1,bagging_n_estimators=50_max_samples=0.7_max_features=0.9,150.58526546648372,131.17714285714288,218.4861408934473
aiare 1,random_forest_n_estimators=100_max_depth=20_min_samples_leaf=3,151.38489765557557,125.2852888949676,104.7833718508488
aiare 1,random_forest_n_estimators=100_max_depth=None_min_samples_leaf=3,151.38489765557557,125.2852888949676,104.78337185084884
aiare 1,random_forest_n_estimators=100_max_depth=10_min_samples_leaf=3,151.38489765557557,125.2852888949676,104.78337185084884
aiare 1,random_forest_n_estimators=100_max_depth=5_min_samples_leaf=3,151.98609239873517,126.00896803328962,104.80709597386796
aiare 1,random_forest_n_estimators=300_max_depth=20_min_samples_leaf=3,152.43502838528588,127.91697440258169,152.318125582617
aiare 1,random_forest_n_estimators=300_max_depth=10_min_samples_leaf=3,152.43502838528593,127.91697440258177,152.318125582617
aiare 1,random_forest_n_estimators=300_max_depth=None_min_samples_leaf=3,152.43502838528593,127.91697440258177,152.31812558261703
aiare 1,extra_trees_n_estimators=300_max_depth=20_min_samples_leaf=3,152.79646747462883,135.4655396825391,81.2740329636591
aiare 1,extra_trees_n_estimators=300_max_depth=None_min_samples_leaf=3,152.79646747462886,135.46553968253914,81.2740329636591
aiare 1,extra_trees_n_estimators=300_max_depth=10_min_samples_leaf=3,152.79646747462888,135.46553968253914,81.2740329636591
aiare 1,random_forest_n_estimators=300_max_depth=5_min_samples_leaf=3,152.94548602164463,128.45656233405063,152.3344098155769
aiare 1,bagging_n_estimators=25_max_samples=0.9_max_features=0.9,153.15706514927297,130.36000000000004,205.9295412567702
aiare 1,extra_trees_n_estimators=200_max_depth=10_min_samples_leaf=3,153.70536547543188,137.04885317460278,83.41152519907585
aiare 1,extra_trees_n_estimators=200_max_depth=None_min_samples_leaf=3,153.70536547543188,137.0488531746028,83.41152519907584
aiare 1,extra_trees_n_estimators=200_max_depth=20_min_samples_leaf=3,153.70536547543188,137.04885317460284,83.41152519907585
aiare 1,gbr_n_estimators=200_learning_rate=0.05_max_depth=5_subsample=1.0,154.02404077033663,124.65347979441079,18.22420459362272
aiare 1,gbr_n_estimators=300_learning_rate=0.05_max_depth=5_subsample=1.0,154.02543395165688,124.6586052170658,18.276522140436622
aiare 1,gbr_n_estimators=300_learning_rate=0.01_max_depth=4_subsample=1.0,154.4471156141391,129.70884866179296,187.07475464491077
aiare 1,gbr_n_estimators=100_learning_rate=0.05_max_depth=5_subsample=1.0,155.61058372195154,125.8654841292596,31.820197100167082
aiare 1,extra_trees_n_estimators=100_max_depth=5_min_samples_leaf=3,157.8717265752171,141.33487685198418,92.07487890657242
